Actual,Predicted,nPredictions
M2-5,M2-2,0
M2-5,M2-3,0
M2-5,M2-4,0
M2-5,M2-5,50
M2-5,Stratasys900mc-2,0
M2-5,M2-6,0
Stratasys900mc-2,Stratasys450mc-2,0
Stratasys900mc-2,5200-1,0
Stratasys900mc-2,Stratasys450mc-1,0
Stratasys900mc-2,Stratasys900mc-1,0
Stratasys900mc-2,M2-1,0
Stratasys900mc-2,Form3B-4,0
Stratasys900mc-2,Form3B-2,0
Stratasys900mc-2,Form3B-1,0
Stratasys900mc-2,Form3B-5,0
Stratasys900mc-2,Form3B-6,0
Stratasys900mc-2,Form3B-3,0
Stratasys900mc-2,4200-1,0
Stratasys900mc-2,5200-2,0
Stratasys900mc-2,L1-2,0
Stratasys900mc-2,L1-1,0
Stratasys900mc-2,M2-2,0
Stratasys900mc-2,M2-3,0
Stratasys900mc-2,M2-4,0
Stratasys900mc-2,M2-5,0
Stratasys900mc-2,Stratasys900mc-2,50
Stratasys900mc-2,M2-6,0
M2-6,Stratasys450mc-2,0
M2-6,5200-1,0
M2-6,Stratasys450mc-1,0
M2-6,Stratasys900mc-1,0
M2-6,M2-1,0
M2-6,Form3B-4,0
M2-6,Form3B-2,0
M2-6,Form3B-1,0
M2-6,Form3B-5,0
M2-6,Form3B-6,0
M2-6,Form3B-3,0
M2-6,4200-1,0
M2-6,5200-2,0
M2-6,L1-2,0
M2-6,L1-1,0
M2-6,M2-2,0
M2-6,M2-3,0
M2-6,M2-4,0
M2-6,M2-5,0
M2-6,Stratasys900mc-2,0
M2-6,M2-6,50
